acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-188.73,197.4,968.19,-840.0,-3762.5,-6002.5
-187.64,197.4,968.92,-595.0,-4252.5,-7350.0
-186.9,197.15,969.9,-70.0,-4462.5,-7875.0
-186.54,196.66,970.88,1347.5,-4952.5,-8102.5
-186.17,196.05,971.12,1225.0,-4532.5,-8522.5
-185.81,195.44,971.0,-105.0,-4340.0,-9082.5
-185.56,194.71,971.0,840.0,-5232.5,-9082.5
-184.83,194.47,970.51,2730.0,-5827.5,-8942.5
-183.73,195.08,968.92,2432.5,-5827.5,-9415.0
-182.76,196.18,966.48,910.0,-6720.0,-10535.0
-182.51,197.15,964.53,-910.0,-7175.0,-10937.5
-182.51,197.64,963.92,-2817.5,-6352.5,-10657.5
-182.51,197.4,965.02,-3937.5,-5442.5,-10202.5
-182.02,196.54,967.95,-3185.0,-4585.0,-10080.0
-181.78,195.44,971.73,-997.5,-3920.0,-10622.5
-181.54,194.47,975.27,892.5,-3185.0,-11305.0
-180.93,193.61,977.83,875.0,-2012.5,-12145.0
-180.56,192.76,979.42,1120.0,-1295.0,-12792.5
-180.8,191.78,980.15,2117.5,-1855.0,-13317.5
-181.41,190.81,979.9,2730.0,-2100.0,-12967.5
-182.02,189.83,979.17,1155.0,-1277.5,-12127.5
-182.27,188.86,978.44,-140.0,-455.0,-11357.5
-182.27,187.64,978.44,-122.5,350.0,-10902.5
-182.63,186.29,978.56,-262.5,1347.5,-10675.0
-183.49,184.71,978.56,350.0,735.0,-10412.5
-184.95,183.0,978.2,1085.0,-385.0,-10150.0
-186.78,180.8,977.71,1050.0,-525.0,-9240.0
-188.98,178.24,977.1,455.0,-35.0,-7577.5
-191.54,176.05,976.49,192.5,262.5,-6282.5
-194.22,173.73,975.76,315.0,-647.5,-5040.0
-196.79,171.41,975.02,350.0,-1732.5,-3377.5
-199.1,169.09,974.54,735.0,-2240.0,-1785.0
-201.18,166.9,974.29,1155.0,-3220.0,52.5
-203.01,165.31,974.29,1032.5,-3062.5,1417.5
-204.84,163.97,974.41,490.0,-2555.0,2572.5
-206.42,162.87,974.78,752.5,-2765.0,3780.0
-207.64,161.89,974.66,1085.0,-3150.0,4462.5
-208.86,160.67,974.17,787.5,-3552.5,5197.5
-210.33,159.45,973.8,1015.0,-3850.0,6772.5
-211.91,158.48,973.44,1715.0,-4200.0,8417.5
-213.62,157.62,972.58,2310.0,-4935.0,9905.0
-214.96,156.65,971.36,1452.5,-5810.0,12215.0
-215.45,155.67,970.51,-192.5,-5302.5,14157.5
-215.45,155.18,970.27,-1522.5,-4655.0,15575.0
-214.96,155.18,970.51,-1102.5,-5215.0,16345.0
-213.99,155.55,970.88,402.5,-6650.0,16520.0
-213.01,155.55,971.24,1942.5,-8295.0,16625.0
-211.79,155.18,971.73,3395.0,-9450.0,17587.5
-210.57,154.82,972.58,3517.5,-9362.5,19005.0
-209.11,154.33,973.32,1977.5,-8400.0,20370.0
-207.28,153.84,974.05,1032.5,-8312.5,21490.0
-204.96,153.48,975.02,1645.0,-8820.0,22242.5
-202.4,152.87,975.88,3237.5,-9327.5,23432.5
-199.35,152.5,976.49,4760.0,-9782.5,24762.5
