timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
5388,24.89,169.58,996.25,2765.0,11077.5,29067.5
5418,28.43,170.56,995.15,2975.0,11322.5,29190.0
5447,32.45,172.02,993.32,3885.0,8505.0,29820.0
5477,39.77,175.07,990.52,3097.5,7910.0,28647.5
5506,49.29,179.58,987.35,1942.5,6667.5,26075.0
5535,61.37,185.2,983.56,350.0,5722.5,22242.5
5564,75.15,191.91,980.15,-210.0,3622.5,16625.0
5593,88.57,198.86,976.98,332.5,630.0,10867.5
5623,101.75,206.06,973.19,-1137.5,-1715.0,4690.0
5652,113.83,213.01,970.14,-3010.0,-4847.5,-2275.0
5681,124.07,218.87,968.68,-2940.0,-7245.0,-8102.5
5710,132.61,223.87,967.46,-4287.5,-7350.0,-12880.0
5739,138.59,227.53,967.22,-5950.0,-7420.0,-16852.5
5768,143.59,230.21,968.44,-4760.0,-9607.5,-20685.0
5797,147.01,232.65,969.17,-2065.0,-14000.0,-25165.0
5826,148.35,234.97,968.92,-962.5,-17902.5,-28157.5
5855,149.33,236.68,969.66,-6475.0,-9537.5,-28997.5
5884,149.57,236.44,974.29,-10570.0,-2502.5,-30642.5
5913,148.11,234.12,981.49,-3587.5,-6545.0,-33040.0
5942,144.45,230.82,986.74,1855.0,-8382.5,-32847.5
5971,138.1,227.16,988.69,140.0,-3920.0,-30467.5
6000,128.34,222.53,990.03,577.5,-2870.0,-26565.0
6029,115.17,217.28,991.37,3955.0,-4462.5,-19950.0
6058,100.65,212.52,991.49,4200.0,-1802.5,-10237.5
6087,86.62,208.25,991.62,1925.0,2082.5,-927.5
6116,74.3,204.47,992.84,1627.5,4270.0,6405.0
6145,63.68,201.06,994.91,3972.5,4025.0,12775.0
6174,55.88,198.74,996.98,5985.0,5075.0,18427.5
6203,51.24,197.76,997.23,6842.5,6580.0,21787.5
6232,48.31,197.64,995.64,6230.0,7017.5,24657.5
6261,47.82,198.37,992.71,5967.5,6597.5,26390.0
6291,48.92,199.59,987.22,6492.5,4357.5,25760.0
6320,49.53,201.18,980.39,3780.0,4935.0,27492.5
6350,51.97,202.28,974.05,-875.0,7892.5,30887.5
6379,57.58,203.37,970.14,-5022.5,7962.5,31640.0
6409,66.49,204.96,968.44,-3027.5,2992.5,30660.0
6438,80.76,208.13,966.73,-1557.5,1610.0,27982.5
6468,100.16,213.01,965.75,-4200.0,3622.5,21857.5
6497,122.37,218.38,966.97,-5425.0,1505.0,12915.0
6527,143.72,223.5,969.66,-2765.0,-1785.0,2467.5
6556,161.65,228.51,970.51,245.0,-6072.5,-6405.0
6585,176.05,233.26,968.07,-35.0,-7735.0,-13597.5
6614,187.39,236.56,964.65,-4567.5,-7647.5,-19862.5
6643,195.57,237.66,963.43,-7735.0,-7385.0,-24710.0
