acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
9.0,249.61,973.07,-5775.0,-3640.0,-22995.0
-48.07,244.24,975.88,-4865.0,-1977.5,-17990.0
-59.78,238.88,978.68,-3937.5,-332.5,-11252.5
-71.25,234.12,981.25,-2625.0,315.0,-4690.0
-81.62,229.73,983.56,-1470.0,-245.0,1487.5
-90.77,225.82,985.76,437.5,-1645.0,6650.0
-98.33,222.53,987.96,3220.0,-2222.5,10990.0
-104.43,220.09,989.54,6247.5,-2397.5,15697.5
-108.82,218.87,989.66,6930.0,-1977.5,19635.0
-111.26,218.75,988.93,6457.5,-2152.5,22557.5
-111.75,218.99,987.96,4602.5,-1452.5,23660.0
-111.63,218.87,987.47,2870.0,-1242.5,23940.0
-111.51,217.53,987.47,3902.5,-2397.5,24972.5
-111.75,215.7,987.71,5967.5,-3920.0,26985.0
-112.12,213.99,987.47,7122.5,-5460.0,29697.5
-112.24,212.52,986.86,6650.0,-5862.5,32410.0
-112.24,211.43,986.37,6790.0,-6527.5,35542.5
-111.63,210.57,986.49,8155.0,-7717.5,38622.5
-110.04,210.33,986.37,9852.5,-9117.5,41405.0
-107.48,210.82,985.52,12092.5,-11025.0,43522.5
-103.46,211.79,984.17,12040.0,-10815.0,45325.0
-98.58,213.62,983.08,9992.5,-8102.5,46620.0
-93.21,215.7,982.71,9257.5,-6160.0,47127.5
-87.72,217.89,982.34,9310.0,-5442.5,48002.5
-81.62,220.09,981.61,8925.0,-4882.5,48282.5
-75.52,222.04,980.51,8977.5,-4935.0,47897.5
-69.54,223.75,979.29,9695.0,-6282.5,47845.0
-63.2,225.21,978.2,11112.5,-7350.0,48405.0
-56.0,227.04,977.22,11515.0,-6457.5,49630.0
-48.19,229.12,975.76,10465.0,-5075.0,49857.5
-40.26,231.56,973.8,9292.5,-5722.5,48807.5
-32.45,233.75,971.73,9625.0,-8662.5,47670.0
-24.52,235.58,969.9,10710.0,-10850.0,47215.0
-15.98,237.29,968.19,10220.0,-9520.0,47722.5
-7.2,239.24,966.48,9205.0,-7927.5,48195.0
1.83,241.93,964.9,8680.0,-8120.0,47442.5
10.74,244.85,963.19,8855.0,-8890.0,46130.0
19.64,247.66,961.48,8802.5,-9205.0,44800.0
28.55,250.59,959.65,7997.5,-8855.0,44100.0
37.09,253.39,957.82,6667.5,-8470.0,42840.0
45.38,255.83,956.11,6265.0,-9240.0,41510.0
53.68,257.79,954.65,6370.0,-9765.0,40932.5
62.71,259.62,953.31,5670.0,-8767.5,40407.5
71.86,261.45,951.97,4567.5,-8417.5,38850.0
80.76,263.28,950.62,4812.5,-9817.5,37065.0
90.52,264.74,949.53,5372.5,-10990.0,36400.0
101.87,266.69,948.43,5967.5,-9765.0,36207.5
114.92,269.74,947.21,3745.0,-7647.5,34422.5
128.34,273.4,946.11,2345.0,-6335.0,29960.0
141.28,276.7,945.13,2240.0,-6755.0,24955.0
153.96,279.38,944.52,3010.0,-7805.0,20720.0
166.53,282.06,944.52,3622.5,-7350.0,17412.5
178.61,284.99,944.04,3360.0,-5337.5,14227.5
190.32,288.53,942.94,1260.0,-2905.0,10920.0
201.91,292.68,941.35,-1505.0,-1120.0,5967.5
212.52,296.58,939.64,-1890.0,-1645.0,-822.5
221.8,299.75,938.3,-630.0,-5040.0,-6860.0
229.6,301.83,937.2,-70.0,-6142.5,-11147.5
236.07,302.56,936.47,-630.0,-4375.0,-13422.5
241.32,302.8,935.62,-700.0,-2870.0,-14315.0
245.95,303.41,934.64,-595.0,-3185.0,-16450.0
250.83,304.63,933.3,-1435.0,-4007.5,-19635.0
255.83,306.1,931.84,-3552.5,-3832.5,-24150.0
260.1,307.2,931.23,-5932.5,-2835.0,-28857.5
