acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
27.94,445.06,899.38,-1050.0,5057.5,-455.0
26.23,444.57,901.34,2310.0,2835.0,157.5
24.77,444.32,901.95,3010.0,2975.0,175.0
23.18,444.32,901.58,2905.0,2800.0,-70.0
21.47,444.08,900.48,3360.0,1540.0,-455.0
19.89,443.96,899.26,2100.0,-52.5,-1067.5
18.3,443.59,898.9,-227.5,630.0,-1470.0
16.47,442.62,899.38,-1382.5,2467.5,-1207.5
14.27,441.64,899.87,-717.5,2205.0,-367.5
12.2,440.79,900.24,647.5,1067.5,595.0
10.86,440.3,900.24,1137.5,1907.5,1487.5
9.88,440.42,899.87,-612.5,3885.0,1855.0
9.03,440.66,899.75,-1260.0,3342.5,1242.5
7.81,440.79,899.51,-437.5,1767.5,665.0
6.47,440.91,899.14,-892.5,630.0,525.0
5.49,440.54,899.26,-1015.0,665.0,665.0
4.88,439.93,899.75,-350.0,1645.0,1172.5
4.64,439.32,900.36,-280.0,3360.0,1855.0
4.39,438.96,900.73,-490.0,4707.5,2100.0
4.03,438.96,900.48,-700.0,4445.0,1557.5
3.42,439.08,899.99,-787.5,2835.0,420.0
2.44,438.83,899.51,-315.0,1610.0,35.0
1.71,438.71,898.9,472.5,1365.0,542.5
0.85,438.71,897.92,-262.5,997.5,805.0
0.24,438.71,897.07,-1347.5,227.5,210.0
-0.73,438.47,896.7,-1312.5,-647.5,-280.0
-1.83,438.22,896.09,52.5,-2940.0,-157.5
-2.68,437.98,895.36,910.0,-5792.5,-210.0
-2.68,437.86,895.85,-980.0,-4130.0,-455.0
-2.56,437.49,897.92,-3045.0,2082.5,-297.5
-3.17,436.76,900.12,-2502.5,5600.0,630.0
-4.15,436.15,901.46,-1750.0,5197.5,1557.5
-4.64,435.66,902.31,-1662.5,3937.5,1592.5
-4.88,435.42,903.17,-962.5,2222.5,822.5
-5.25,435.05,903.9,1172.5,-227.5,192.5
-5.73,434.93,904.02,2782.5,-1365.0,70.0
-6.1,434.81,903.78,2572.5,-927.5,52.5
-6.59,434.81,903.29,1295.0,-52.5,227.5
-7.08,434.69,902.68,175.0,647.5,490.0
-7.56,434.56,902.31,-472.5,1942.5,752.5
-7.81,434.44,902.19,-1312.5,3325.0,945.0
-8.3,434.44,901.82,-1155.0,2870.0,647.5
-8.78,434.32,901.21,402.5,-262.5,105.0
-9.27,434.2,900.6,1137.5,-2047.5,-70.0
-9.52,434.32,900.48,542.5,-1382.5,87.5
-9.52,434.56,900.73,-490.0,245.0,-227.5
-9.76,434.44,901.09,-1207.5,1662.5,-280.0
-10.49,434.08,901.7,-1417.5,2345.0,332.5
-11.22,433.47,902.31,-1050.0,2625.0,805.0
-11.96,432.98,902.68,140.0,2222.5,1277.5
-12.32,432.61,902.92,735.0,962.5,1295.0
-12.2,432.49,903.41,822.5,332.5,752.5
-12.2,432.61,903.9,1260.0,1085.0,332.5
-12.44,432.61,903.78,1085.0,1855.0,717.5
-12.69,432.86,903.04,-227.5,1680.0,665.0
-12.69,432.98,903.04,-1540.0,1400.0,-17.5
-12.93,432.61,903.78,-1207.5,2222.5,17.5
-13.42,432.0,904.51,105.0,2537.5,717.5
-13.66,431.76,904.87,647.5,2450.0,770.0
-14.03,431.76,904.75,385.0,1435.0,-17.5
-14.4,431.64,904.87,840.0,122.5,-402.5
-14.88,431.39,905.0,1382.5,175.0,52.5
-15.13,431.27,905.36,682.5,1557.5,332.5
-15.62,431.27,905.48,560.0,2327.5,385.0
-15.98,431.27,905.24,735.0,2170.0,420.0
-16.59,431.39,904.51,927.5,1312.5,35.0
-17.08,431.39,903.65,997.5,630.0,-70.0
-17.69,431.64,902.8,332.5,1330.0,-17.5
-18.42,431.88,901.82,-70.0,1137.5,17.5
-19.03,432.12,900.6,-210.0,-350.0,-105.0
-19.64,432.37,899.87,-1400.0,-717.5,-227.5
-20.01,432.37,899.99,-2152.5,350.0,-122.5
-20.5,432.37,900.36,-1645.0,927.5,192.5
-20.98,432.25,900.6,-1452.5,262.5,-70.0
-21.72,431.76,900.97,-1260.0,-525.0,-560.0
-22.33,431.15,901.46,-560.0,-1172.5,-245.0
-22.81,430.42,902.19,-560.0,-385.0,315.0
-23.18,429.81,903.04,-822.5,927.5,717.5
-23.55,429.44,903.41,-420.0,630.0,840.0
-23.79,429.32,903.53,-315.0,-105.0,770.0
-23.91,429.44,903.78,-752.5,752.5,770.0
-24.03,429.56,903.78,-1172.5,1575.0,507.5
-24.4,429.44,903.65,-700.0,245.0,227.5
-24.64,429.2,903.78,-717.5,-245.0,385.0
-24.64,428.83,904.39,-577.5,770.0,962.5
-24.52,428.71,904.63,-857.5,2117.5,1015.0
-24.4,428.71,904.75,-1155.0,857.5,332.5
-24.4,428.59,905.12,-647.5,-647.5,-350.0
-24.52,428.34,905.73,-105.0,-752.5,-175.0
-24.77,428.1,906.46,-402.5,735.0,350.0
-24.89,427.73,907.31,-245.0,1942.5,367.5
-25.13,427.49,907.68,315.0,1697.5,122.5
-25.5,427.12,907.56,665.0,315.0,-175.0
-25.74,426.76,907.56,770.0,420.0,-157.5
-26.11,426.51,907.56,245.0,1750.0,52.5
-26.84,426.15,907.19,577.5,1085.0,262.5
-27.33,425.9,906.7,1225.0,-630.0,297.5
-27.33,425.78,906.46,1085.0,-770.0,227.5
-27.33,426.02,906.46,367.5,630.0,175.0
-27.33,426.02,906.22,52.5,1155.0,210.0
-27.57,426.15,905.97,70.0,717.5,70.0
-27.69,426.27,905.61,-87.5,350.0,-297.5
-27.82,426.02,905.73,-332.5,665.0,-280.0
-28.06,426.02,905.97,105.0,560.0,-262.5
-28.55,425.9,906.09,682.5,35.0,-315.0
-28.91,425.9,906.09,560.0,-280.0,-175.0
-29.04,425.9,906.34,70.0,350.0,-122.5
-29.04,425.78,907.07,122.5,1330.0,-210.0
-29.4,425.54,907.8,35.0,3010.0,140.0
-29.89,425.17,908.17,612.5,2660.0,420.0
-30.5,424.93,907.92,1785.0,647.5,105.0
-30.99,424.8,907.19,1960.0,-682.5,-175.0
-31.72,424.93,906.46,1732.5,-542.5,-87.5
-32.45,425.17,905.12,1260.0,-700.0,297.5
-33.18,425.54,903.78,245.0,-1312.5,227.5
-33.67,425.9,902.8,-140.0,-2117.5,-35.0
-34.04,426.02,902.19,-490.0,-1820.0,262.5
-34.16,425.66,902.31,-1732.5,875.0,1085.0
-34.16,425.41,902.68,-1767.5,1977.5,1417.5
-34.28,425.05,902.92,-945.0,1260.0,1400.0
-34.16,424.93,903.17,-1470.0,1225.0,1242.5
-33.92,424.8,903.78,-1452.5,507.5,770.0
-33.92,424.8,904.63,-227.5,-892.5,280.0
-33.67,424.93,905.48,665.0,-1732.5,210.0
-33.55,424.93,906.22,612.5,-805.0,157.5
-33.43,424.8,906.46,367.5,280.0,385.0
-33.18,424.8,906.34,122.5,682.5,437.5
-32.94,424.93,906.09,-192.5,140.0,-140.0
-32.82,424.8,905.97,35.0,-577.5,-595.0
-32.94,424.8,905.97,455.0,-910.0,-437.5
-32.94,424.93,905.85,577.5,-1085.0,-402.5
-32.94,425.05,905.48,472.5,-997.5,-472.5
-33.06,425.17,905.24,-105.0,-1312.5,-542.5
-32.94,425.05,905.48,-700.0,-577.5,-717.5
-33.18,424.68,906.34,-717.5,157.5,-647.5
-33.55,424.32,907.31,70.0,122.5,-402.5
-33.92,423.95,907.92,1172.5,122.5,-70.0
-34.4,423.71,907.68,1260.0,175.0,227.5
-34.53,423.71,907.07,647.5,-210.0,35.0
-34.65,423.58,906.58,262.5,-945.0,-175.0
-34.65,423.58,906.58,-227.5,-140.0,105.0
-34.77,423.46,906.95,-210.0,822.5,227.5
-35.01,423.58,906.95,455.0,52.5,140.0
-35.38,423.58,906.46,735.0,-1295.0,175.0
-35.14,423.71,905.97,472.5,-1225.0,157.5
-34.89,423.95,905.61,157.5,-665.0,52.5
-34.53,424.19,905.36,-297.5,-560.0,-157.5
-34.28,424.56,905.12,-787.5,-682.5,-612.5
-34.28,424.56,905.24,-892.5,-787.5,-857.5
-34.65,424.19,905.48,-840.0,-560.0,-297.5
-34.89,423.95,905.97,-542.5,-297.5,192.5
-34.89,423.71,906.34,-210.0,-490.0,-17.5
-34.89,423.34,906.46,350.0,-980.0,-35.0
-35.01,423.34,906.46,647.5,-1435.0,17.5
-35.01,423.46,906.34,262.5,-1312.5,-52.5
-35.14,423.58,906.09,-577.5,-717.5,-105.0
-35.26,423.83,906.09,-612.5,-840.0,0.0
-35.38,423.83,905.97,-735.0,-805.0,35.0
-35.38,423.58,906.34,-1102.5,-560.0,35.0
-35.38,423.22,906.95,-262.5,-927.5,192.5
-35.5,422.73,907.44,665.0,-1540.0,367.5
-35.38,422.36,907.56,315.0,-1032.5,577.5
-35.01,422.24,907.92,-665.0,-280.0,455.0
-34.89,421.88,908.66,-35.0,-665.0,297.5
-34.89,421.75,909.51,1050.0,-1120.0,507.5
-34.89,421.88,910.12,1470.0,-945.0,525.0
-34.65,421.88,910.24,997.5,-70.0,717.5
-34.4,421.88,910.36,612.5,560.0,857.5
-33.79,422.0,910.36,927.5,577.5,717.5
-33.31,422.36,910.12,770.0,560.0,385.0
-32.7,422.85,909.51,525.0,-70.0,-175.0
-32.45,423.1,909.02,560.0,-857.5,-700.0
-32.21,423.22,908.66,210.0,-612.5,-612.5
-31.96,423.1,908.78,52.5,175.0,-367.5
-31.96,422.97,908.9,52.5,157.5,-437.5
-31.72,422.85,909.39,735.0,-665.0,-752.5
-31.84,422.73,909.63,1015.0,-490.0,-717.5
-32.09,422.61,909.51,577.5,0.0,-507.5
-32.45,422.61,909.39,770.0,-525.0,-560.0
-33.18,422.24,909.14,1347.5,-1277.5,-315.0
-33.67,421.88,908.9,1417.5,-1242.5,472.5
-33.67,422.0,908.53,560.0,472.5,1120.0
-33.43,422.61,907.92,-805.0,1680.0,910.0
-33.31,422.97,907.44,-717.5,455.0,140.0
-33.31,423.1,907.07,-122.5,-1295.0,-227.5
-33.18,423.1,907.19,-87.5,-1225.0,-262.5
-33.06,422.97,907.68,-52.5,-752.5,-140.0
-32.94,422.85,908.17,577.5,-350.0,122.5
-32.94,422.97,908.41,822.5,-262.5,227.5
-32.82,423.1,908.41,420.0,-420.0,-35.0
-32.82,423.1,908.41,52.5,-70.0,-192.5
-32.82,422.97,908.41,315.0,35.0,245.0
-32.57,423.1,908.29,297.5,297.5,122.5
-32.33,423.1,908.17,-105.0,332.5,-385.0
-32.45,423.22,908.17,542.5,-665.0,-647.5
-32.57,423.1,907.92,840.0,-1417.5,-682.5
-32.57,422.97,908.17,227.5,-787.5,-577.5
-32.7,422.85,908.41,297.5,367.5,-192.5
-32.7,422.85,908.53,350.0,822.5,87.5
-32.94,422.85,908.41,-52.5,875.0,-140.0
-33.31,422.61,908.29,525.0,157.5,-140.0
-33.79,422.61,907.92,1102.5,-262.5,367.5
-33.92,422.85,907.31,280.0,-17.5,437.5
-33.92,423.1,906.7,-927.5,-455.0,175.0
-33.92,423.22,906.58,-805.0,-1592.5,332.5
-33.79,423.34,906.7,-262.5,-280.0,105.0
-33.55,423.34,906.7,-980.0,612.5,210.0
-33.43,423.22,906.7,-962.5,140.0,192.5
-33.18,422.85,906.95,262.5,-770.0,-245.0
-33.18,422.73,906.95,227.5,-245.0,-87.5
-33.18,422.61,906.95,-682.5,525.0,70.0
-33.18,422.61,907.07,-700.0,647.5,-192.5
-33.55,422.36,907.31,210.0,-542.5,-402.5
-33.92,422.12,907.68,980.0,-1487.5,-472.5
-34.16,422.0,908.17,1452.5,-1155.0,-385.0
-34.65,421.63,908.17,1592.5,-612.5,280.0
-35.01,421.63,907.92,1680.0,-805.0,525.0
-35.14,421.88,907.19,1347.5,-1260.0,402.5
-35.01,422.24,906.7,717.5,-1330.0,245.0
-34.89,422.36,906.46,192.5,-1120.0,122.5
-34.77,422.36,906.58,455.0,-875.0,192.5
