acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-9.03,491.54,872.54,980.0,35.0,1330.0
-8.3,491.78,872.3,1032.5,-630.0,1277.5
-7.32,492.51,871.69,577.5,-2082.5,560.0
-6.34,493.12,871.57,455.0,-3307.5,-210.0
-5.12,493.37,872.06,402.5,-3132.5,-927.5
-4.39,493.37,872.54,875.0,-2467.5,-1452.5
-4.39,493.25,872.3,507.5,-2065.0,-1627.5
-5.25,493.0,871.81,175.0,-2170.0,-1732.5
-6.71,492.64,871.2,402.5,-2292.5,-1435.0
-8.54,492.15,870.35,350.0,-2152.5,-647.5
-10.49,492.15,869.25,-437.5,-1260.0,-245.0
-12.57,492.15,868.52,-1540.0,-822.5,280.0
-14.52,491.9,868.52,-1715.0,-787.5,1172.5
-15.74,491.54,869.25,-1662.5,-472.5,2152.5
-16.1,490.93,870.59,-892.5,385.0,2992.5
-15.74,490.44,871.93,227.5,1172.5,3377.5
-15.01,490.44,872.54,1207.5,1330.0,3202.5
-14.15,491.05,872.18,1365.0,1207.5,2747.5
-13.3,491.9,871.08,52.5,1435.0,2222.5
-12.2,492.39,870.35,-1470.0,1330.0,1732.5
-10.86,492.39,870.71,-1190.0,507.5,1417.5
-9.39,492.03,871.57,105.0,-157.5,1470.0
-7.81,491.9,871.81,630.0,-140.0,1417.5
-6.59,492.27,871.32,-525.0,227.5,770.0
-5.86,492.88,871.08,-1487.5,-350.0,87.5
-5.61,493.12,871.2,-787.5,-1627.5,-35.0
-5.12,492.76,871.81,87.5,-2205.0,227.5
-4.27,492.51,872.54,577.5,-1610.0,367.5
-3.42,492.51,872.67,35.0,-787.5,140.0
-3.17,492.64,872.54,-175.0,-1032.5,-332.5
-3.66,492.64,872.54,-70.0,-1557.5,-525.0
-4.39,492.51,872.54,-490.0,-1645.0,-367.5
-5.12,491.9,873.28,-542.5,-1470.0,175.0
-5.61,490.81,874.74,945.0,-1365.0,1085.0
-5.73,489.95,875.47,1995.0,-1312.5,1662.5
-5.61,489.46,875.47,1347.5,-962.5,1627.5
-5.61,489.1,875.23,875.0,-910.0,1522.5
-5.61,488.73,874.86,1137.5,-1172.5,1785.0
-5.12,488.73,874.5,805.0,-1277.5,1610.0
-4.51,488.61,874.37,-297.5,-892.5,1102.5
-3.9,488.37,874.98,-402.5,-507.5,892.5
-3.42,487.76,875.96,577.5,-490.0,1120.0
-2.68,487.27,876.57,1767.5,-980.0,1277.5
-2.07,487.27,876.45,2082.5,-1050.0,1190.0
-1.46,487.51,875.72,1295.0,-402.5,1050.0
-0.85,488.0,874.5,315.0,-210.0,630.0
-0.24,488.37,873.28,-210.0,-927.5,87.5
0.24,488.73,872.42,-612.5,-1540.0,-315.0
0.73,488.98,872.06,-1155.0,-805.0,-472.5
0.98,489.22,871.93,-1277.5,-280.0,-402.5
0.98,489.71,871.93,-857.5,-1085.0,-420.0
1.1,490.2,872.18,-210.0,-1540.0,-420.0
1.46,490.68,872.42,-17.5,-980.0,-385.0
2.32,491.17,872.3,-105.0,-1155.0,-752.5
3.29,491.78,872.18,192.5,-2030.0,-1470.0
4.27,492.15,872.3,0.0,-1522.5,-1925.0
5.12,492.15,872.54,-735.0,-805.0,-2100.0
5.73,491.78,873.28,-227.5,-1400.0,-2310.0
6.1,490.68,874.5,1347.5,-1732.5,-2292.5
5.86,489.59,875.23,1942.5,-525.0,-1802.5
4.88,488.73,874.98,1190.0,822.5,-1155.0
3.54,488.37,874.37,910.0,735.0,-875.0
2.07,488.61,873.76,490.0,717.5,-1067.5
0.37,488.85,873.03,-980.0,1435.0,-1120.0
-1.46,488.73,872.79,-1207.5,1102.5,-332.5
-2.68,488.73,872.79,-157.5,-210.0,297.5
-2.93,488.98,872.67,-822.5,-787.5,-315.0
-2.93,489.22,873.03,-1470.0,-577.5,-840.0
-3.05,488.98,874.01,-630.0,-997.5,-612.5
-2.93,488.73,874.98,280.0,-1680.0,-455.0
-2.68,488.49,876.2,297.5,-1592.5,-507.5
-2.2,488.12,877.42,980.0,-980.0,-245.0
-1.59,487.63,878.28,2117.5,-1120.0,140.0
-1.1,487.51,878.16,2222.5,-1365.0,227.5
-0.61,487.51,877.55,1575.0,-1155.0,175.0
-0.49,487.63,876.69,1085.0,-1155.0,227.5
-0.73,487.51,875.96,822.5,-1417.5,402.5
-1.22,487.39,875.11,630.0,-1435.0,1032.5
-2.07,487.27,874.5,157.5,-980.0,1680.0
-2.93,487.27,874.01,245.0,-1347.5,2222.5
-3.42,487.51,873.76,717.5,-2152.5,2712.5
-3.17,488.0,873.52,560.0,-1890.0,2782.5
-2.56,488.61,873.64,-140.0,-857.5,2327.5
-1.71,489.1,874.01,-280.0,-455.0,1540.0
-1.1,489.22,874.62,420.0,-910.0,1120.0
-0.73,489.22,875.35,805.0,-595.0,1120.0
-0.24,488.98,876.08,1277.5,297.5,1032.5
0.49,488.98,876.45,1505.0,367.5,1190.0
1.46,488.98,876.2,1645.0,192.5,945.0
2.56,489.22,875.72,892.5,87.5,437.5
3.05,488.98,875.47,980.0,245.0,735.0
3.29,488.61,875.35,1802.5,595.0,2975.0
4.64,489.22,874.5,1540.0,857.5,1557.5
5.86,489.95,873.15,87.5,-297.5,-735.0
6.83,490.07,872.42,210.0,-1820.0,-315.0
8.66,490.2,872.06,472.5,-647.5,-227.5
10.49,490.44,871.2,0.0,-472.5,-787.5
11.96,490.81,869.49,122.5,-2642.5,-1575.0
12.69,491.42,867.66,-315.0,-4970.0,-2030.0
12.57,491.66,866.57,-1715.0,-6405.0,-2170.0
11.96,491.54,867.18,927.5,-7752.5,-262.5
11.35,491.29,868.64,7157.5,-9887.5,1820.0
11.47,492.15,869.13,5845.0,-7017.5,1785.0
11.35,493.61,868.4,910.0,-700.0,1662.5
10.98,494.95,867.42,-1802.5,2047.5,332.5
10.13,495.08,867.18,87.5,507.5,-1610.0
9.27,493.98,867.18,3867.5,-2415.0,-1295.0
9.27,492.76,867.18,4830.0,-1960.0,-1330.0
9.27,491.78,866.57,2922.5,192.5,-1960.0
8.91,491.05,865.83,875.0,420.0,-2222.5
7.69,490.68,865.59,-2240.0,2415.0,-1522.5
6.34,490.44,865.96,-5512.5,4970.0,-402.5
5.0,490.2,867.18,-7472.5,6195.0,1032.5
4.27,489.59,869.49,-4987.5,4252.5,2257.5
4.39,489.22,871.81,-892.5,2590.0,3430.0
5.25,489.59,873.28,70.0,3132.5,4095.0
6.83,490.44,874.13,35.0,3675.0,3850.0
8.42,491.66,874.5,665.0,4357.5,2520.0
9.76,492.76,874.5,630.0,4620.0,1487.5
10.61,493.86,874.25,857.5,5425.0,280.0
10.61,494.47,873.52,490.0,5530.0,-542.5
9.76,494.47,872.54,1050.0,4235.0,-1050.0
8.54,494.1,870.96,630.0,2747.5,-1242.5
6.95,493.37,869.25,-857.5,1890.0,-1155.0
5.25,492.39,868.27,-2397.5,1890.0,-752.5
3.66,491.29,868.27,-3500.0,2765.0,490.0
2.44,490.2,869.01,-3377.5,2712.5,1487.5
1.46,489.22,869.98,-2310.0,2467.5,2240.0
0.98,488.49,871.08,-1312.5,1697.5,3167.5
1.22,488.0,872.06,-647.5,1260.0,3255.0
2.07,487.88,873.03,-420.0,1400.0,2782.5
3.29,488.24,873.76,-735.0,1890.0,2135.0
4.15,488.73,874.25,-910.0,1837.5,1032.5
4.51,488.98,874.37,-892.5,875.0,350.0
4.64,488.98,874.5,-927.5,-17.5,-122.5
4.76,489.22,874.5,-1750.0,-315.0,-577.5
4.51,488.98,875.11,-2590.0,70.0,-542.5
4.27,488.49,876.33,-1137.5,122.5,-17.5
3.9,488.37,876.69,35.0,-332.5,262.5
3.42,488.73,876.45,-402.5,-1050.0,-122.5
2.81,488.98,876.08,-962.5,-1277.5,-210.0
2.2,488.98,876.08,-875.0,-1067.5,192.5
1.59,488.73,876.33,-525.0,-1382.5,315.0
1.22,488.49,876.81,-192.5,-2152.5,332.5
0.98,488.0,877.67,52.5,-1960.0,472.5
0.73,487.51,878.4,472.5,-1312.5,560.0
0.37,487.27,878.4,630.0,-1662.5,665.0
-0.12,487.02,877.91,-70.0,-1662.5,595.0
-0.61,486.9,877.91,-437.5,-1172.5,577.5
-1.34,486.29,878.16,-70.0,-1085.0,1015.0
-1.71,485.8,878.28,507.5,-1400.0,1645.0
-1.71,485.68,877.79,717.5,-1592.5,1785.0
-0.73,486.17,876.94,-280.0,-1662.5,840.0
0.98,487.02,876.45,-1382.5,-1995.0,-1575.0
2.68,487.63,876.2,-1575.0,-3097.5,-3902.5
3.78,488.0,876.33,-2117.5,-3832.5,-5477.5
4.39,488.0,877.06,-2292.5,-2905.0,-5512.5
4.15,487.51,878.16,-1960.0,-1540.0,-5110.0
3.42,486.78,878.89,-577.5,-2467.5,-3570.0
2.56,485.8,879.62,1190.0,-4410.0,-2012.5
2.2,485.19,880.11,1242.5,-3727.5,-1190.0
2.32,484.83,880.23,280.0,-2327.5,-1400.0
2.07,484.46,880.11,577.5,-3062.5,-1872.5
1.59,483.85,879.99,1155.0,-3727.5,-1067.5
1.22,483.61,879.86,542.5,-2782.5,-35.0
0.98,483.12,879.62,437.5,-2257.5,752.5
0.73,482.75,879.38,297.5,-2100.0,1137.5
0.49,482.14,879.13,140.0,-2397.5,1715.0
0.37,481.66,879.25,140.0,-2345.0,2362.5
0.73,481.29,879.62,420.0,-1925.0,2432.5
1.22,481.05,879.86,892.5,-2117.5,2345.0
1.95,480.8,879.86,1032.5,-2292.5,2432.5
2.93,480.92,879.5,752.5,-1820.0,2082.5
3.78,480.8,879.13,332.5,-1400.0,1837.5
4.64,480.56,878.89,647.5,-1417.5,1645.0
5.37,480.44,878.52,787.5,-1487.5,1417.5
6.1,480.56,878.03,0.0,-1137.5,1085.0
6.59,480.56,877.91,-787.5,-752.5,1067.5
7.08,480.44,877.91,-577.5,-752.5,1382.5
7.69,480.56,878.16,35.0,-1050.0,1295.0
8.3,480.92,878.28,-52.5,-1120.0,1207.5
8.78,481.17,878.64,-122.5,-630.0,1260.0
9.27,481.17,879.13,350.0,-262.5,1575.0
9.76,481.41,879.5,647.5,-595.0,1785.0
10.49,481.53,879.5,1015.0,-1207.5,1767.5
11.35,481.78,879.5,1155.0,-1260.0,1680.0
12.32,482.14,879.38,717.5,-1050.0,1417.5
13.18,482.39,879.38,297.5,-840.0,1155.0
13.91,482.39,879.5,665.0,-840.0,1190.0
14.76,482.39,879.38,682.5,-1120.0,910.0
15.62,482.39,879.25,962.5,-1470.0,420.0
16.35,482.51,879.01,735.0,-945.0,140.0
16.84,482.63,878.64,437.5,-577.5,-140.0
17.2,482.63,878.16,122.5,-1067.5,-490.0
17.32,482.39,877.91,17.5,-1487.5,-560.0
17.45,482.02,878.16,0.0,-945.0,-192.5
17.57,481.9,878.16,-175.0,-52.5,87.5
17.81,481.78,878.03,-385.0,-105.0,-70.0
17.93,481.66,878.16,297.5,-1067.5,-402.5
18.06,481.53,878.28,1190.0,-1452.5,-490.0
18.18,481.41,878.16,840.0,-472.5,-262.5
18.3,481.41,877.79,-332.5,857.5,-245.0
18.3,481.41,877.42,-595.0,525.0,-455.0
18.42,481.41,877.18,-472.5,-157.5,-682.5
18.54,481.17,877.42,-402.5,-87.5,-700.0
18.54,480.92,877.79,-175.0,367.5,-560.0
18.54,480.8,878.16,367.5,105.0,-280.0
18.54,480.92,878.28,612.5,-105.0,-122.5
18.67,481.05,878.16,227.5,315.0,-157.5
18.79,481.29,878.03,-297.5,910.0,-157.5
18.79,481.41,878.16,-35.0,630.0,-70.0
19.15,481.53,878.4,682.5,52.5,-122.5
19.64,481.78,878.4,717.5,52.5,-490.0
20.13,481.78,878.52,227.5,280.0,-927.5
20.25,481.53,878.89,262.5,682.5,-770.0
20.5,481.17,879.01,752.5,822.5,-630.0
20.62,480.92,878.64,787.5,577.5,-822.5
20.5,480.8,878.16,647.5,245.0,-1067.5
20.25,480.8,877.42,262.5,490.0,-1120.0
20.01,480.92,876.81,-665.0,507.5,-1137.5
19.89,480.92,876.45,-1225.0,420.0,-1347.5
19.76,480.92,876.57,-1557.5,595.0,-1435.0
19.28,480.8,877.06,-892.5,455.0,-1347.5
19.03,480.8,877.42,-87.5,105.0,-1330.0
18.67,480.92,877.91,70.0,227.5,-1347.5
18.3,480.92,878.16,-52.5,822.5,-1155.0
17.81,480.92,878.4,-210.0,1207.5,-1242.5
17.45,480.68,878.52,-262.5,1067.5,-1312.5
16.96,480.68,878.64,-367.5,1067.5,-1312.5
16.35,480.56,878.64,-245.0,1260.0,-1190.0
15.74,480.56,878.4,-122.5,997.5,-1120.0
15.13,480.44,878.16,-262.5,630.0,-1050.0
14.76,480.44,878.03,-455.0,717.5,-997.5
14.52,480.44,877.91,-490.0,717.5,-1172.5
14.15,480.31,878.16,-490.0,752.5,-1295.0
13.66,480.19,878.28,-297.5,910.0,-1050.0
13.05,480.19,878.28,-542.5,1015.0,-875.0
12.57,480.07,878.4,-665.0,805.0,-875.0
11.96,479.83,878.4,-437.5,630.0,-735.0
11.47,479.46,878.16,-175.0,332.5,-560.0
10.74,479.22,877.91,-17.5,-52.5,-367.5
10.25,479.34,877.67,-717.5,70.0,-507.5
9.76,479.46,877.79,-1522.5,665.0,-787.5
9.27,479.09,878.4,-1032.5,472.5,-612.5
8.78,478.85,879.13,-297.5,280.0,-507.5
8.54,478.85,879.62,-402.5,490.0,-525.0
8.3,478.85,880.11,-630.0,945.0,-665.0
7.93,478.73,880.84,-297.5,980.0,-542.5
7.44,478.48,881.21,367.5,840.0,-227.5
7.08,478.36,880.96,297.5,472.5,-175.0
6.71,478.48,880.6,35.0,87.5,-402.5
6.47,478.48,880.47,175.0,-245.0,-525.0
6.34,478.36,880.23,227.5,-262.5,-507.5
6.22,478.24,879.99,-175.0,17.5,-577.5
6.1,478.24,879.86,-1050.0,105.0,-875.0
5.61,477.87,880.11,-927.5,-262.5,-1032.5
5.12,477.51,880.6,-122.5,-420.0,-787.5
4.51,477.14,880.6,17.5,-315.0,-385.0
3.9,477.02,880.35,-350.0,-577.5,-297.5
3.42,476.9,880.35,-752.5,-560.0,-175.0
2.93,476.65,880.6,-927.5,-140.0,-52.5
2.56,476.41,881.08,-490.0,-280.0,192.5
2.32,476.29,881.45,-17.5,-945.0,455.0
2.44,476.17,882.18,87.5,-770.0,385.0
2.68,476.04,882.79,385.0,-105.0,192.5
2.81,475.92,882.79,542.5,-192.5,332.5
2.93,476.04,882.67,175.0,-455.0,140.0
2.93,476.04,882.67,17.5,-140.0,35.0
2.68,476.17,882.67,332.5,350.0,140.0
2.2,476.17,882.06,262.5,-227.5,280.0
1.71,476.04,881.57,-385.0,-1225.0,175.0
1.46,475.8,881.57,-455.0,-1330.0,280.0
1.34,475.43,882.18,-192.5,-1050.0,665.0
1.22,475.07,882.79,420.0,-962.5,1067.5
1.1,475.07,883.28,455.0,-805.0,1260.0
1.34,474.95,883.65,577.5,-437.5,1242.5
1.71,474.82,883.89,420.0,-157.5,1032.5
1.95,474.82,884.01,595.0,-262.5,647.5
2.32,474.82,884.13,1085.0,-577.5,385.0
2.44,474.82,883.65,1102.5,-682.5,245.0
2.32,474.82,883.04,227.5,-612.5,210.0
2.44,474.82,882.91,-280.0,-542.5,175.0
2.32,474.58,883.28,297.5,-315.0,525.0
2.32,474.58,883.52,840.0,-175.0,735.0
2.44,474.58,883.52,857.5,-262.5,682.5
2.68,474.58,883.16,840.0,-700.0,630.0
2.81,474.7,882.79,682.5,-682.5,560.0
3.05,474.95,882.3,315.0,-297.5,472.5
3.42,475.07,881.94,-315.0,-227.5,245.0
3.78,475.07,882.06,35.0,-507.5,-17.5
4.03,475.07,882.43,717.5,-717.5,35.0
4.39,475.07,882.55,612.5,-367.5,140.0
4.64,475.07,882.67,262.5,-140.0,-35.0
4.76,474.82,882.91,577.5,-700.0,-210.0
4.88,474.58,883.16,647.5,-577.5,52.5
5.0,474.46,883.28,577.5,332.5,175.0
5.0,474.58,883.16,892.5,140.0,175.0
5.0,474.58,882.79,770.0,-735.0,-35.0
5.0,474.7,882.67,245.0,-262.5,-70.0
5.0,474.82,882.79,140.0,472.5,175.0
4.88,474.82,882.55,472.5,-105.0,35.0
4.88,474.95,882.3,822.5,-910.0,-122.5
4.88,474.82,882.3,420.0,-105.0,105.0
4.88,474.82,882.18,-35.0,787.5,280.0
4.64,474.7,882.06,367.5,-105.0,87.5
4.51,474.46,881.82,595.0,-980.0,0.0
4.15,474.21,881.57,175.0,-262.5,367.5
3.78,473.97,880.96,-350.0,297.5,735.0
3.42,474.09,880.47,-945.0,-280.0,735.0
3.54,474.09,880.6,-1557.5,-105.0,490.0
3.78,474.09,881.57,-980.0,385.0,542.5
4.03,474.09,882.3,-70.0,297.5,630.0
4.51,474.58,882.91,105.0,105.0,385.0
5.0,474.82,883.52,-87.5,262.5,-17.5
5.49,474.82,884.26,227.5,700.0,122.5
5.86,474.95,884.38,892.5,1015.0,315.0
6.1,475.19,884.01,787.5,297.5,52.5
6.34,475.31,883.77,542.5,-385.0,-385.0
6.59,475.19,883.65,682.5,-227.5,-437.5
6.47,474.95,883.28,437.5,140.0,-402.5
6.34,474.7,883.04,420.0,-350.0,-472.5
6.1,474.34,882.91,525.0,-560.0,-577.5
5.73,473.97,882.79,700.0,35.0,-437.5
5.12,473.85,882.18,227.5,577.5,-420.0
4.64,473.73,881.45,-560.0,-52.5,-402.5
4.39,473.6,881.33,-630.0,-665.0,-385.0
4.27,473.6,881.33,-927.5,-192.5,-350.0
4.27,473.73,881.82,-1172.5,420.0,-245.0
4.27,473.97,882.43,-682.5,157.5,-472.5
4.15,474.09,883.16,332.5,-542.5,-612.5
4.15,474.09,883.77,752.5,-280.0,-455.0
3.9,474.09,884.26,752.5,297.5,-297.5
3.9,473.97,884.38,700.0,385.0,-245.0
3.9,473.97,884.26,787.5,210.0,-315.0
3.78,473.85,883.65,210.0,525.0,-350.0
3.66,473.97,883.04,-17.5,420.0,-367.5
3.42,473.97,882.67,210.0,-752.5,-612.5
3.17,473.85,882.43,367.5,-1347.5,-577.5
3.17,473.6,882.67,332.5,-525.0,-402.5
3.05,473.48,882.67,52.5,332.5,-175.0
2.93,473.6,882.3,-332.5,140.0,-280.0
2.93,473.73,881.94,-735.0,-385.0,-770.0
2.81,473.73,882.06,-787.5,-577.5,-927.5
2.68,473.6,882.55,-437.5,-87.5,-805.0
2.44,473.48,883.16,-332.5,175.0,-717.5
2.07,473.36,883.77,-17.5,-52.5,-752.5
1.71,473.24,884.26,192.5,192.5,-630.0
1.34,473.12,884.38,280.0,542.5,-437.5
0.85,473.12,884.01,560.0,-17.5,-245.0
0.49,473.24,883.52,315.0,-630.0,-245.0
0.49,473.36,883.28,-297.5,-210.0,-297.5
0.24,473.36,883.4,-630.0,437.5,-175.0
0.12,473.36,883.65,-420.0,245.0,-332.5
0.0,473.12,884.01,87.5,-367.5,-367.5
-0.37,472.87,884.38,472.5,-297.5,-175.0
-0.73,472.87,884.5,525.0,140.0,87.5
-0.98,472.75,884.01,70.0,175.0,245.0
-0.98,472.75,883.65,-262.5,-297.5,87.5
-1.22,472.75,883.4,17.5,-630.0,192.5
-1.1,472.87,883.16,-210.0,-350.0,262.5
-1.1,472.99,883.04,-595.0,-192.5,17.5
-1.34,472.99,883.04,-875.0,-577.5,-87.5
-1.71,472.87,883.52,-280.0,-717.5,105.0
-1.95,472.87,883.52,227.5,-595.0,560.0
-2.2,472.87,883.4,-542.5,-472.5,507.5
-2.2,472.87,883.52,-1032.5,-525.0,227.5
-2.44,472.51,884.13,-262.5,-612.5,542.5
-2.56,472.38,884.62,140.0,-490.0,770.0
-2.44,472.38,884.99,70.0,-525.0,472.5
-2.32,472.26,885.6,-297.5,-367.5,262.5
-2.32,471.9,886.7,245.0,140.0,560.0
-2.32,471.65,887.31,735.0,315.0,927.5
-2.32,471.65,887.31,1225.0,52.5,1032.5
-2.32,471.65,886.94,997.5,-175.0,1015.0
-2.2,471.65,886.45,1015.0,-542.5,910.0
-1.95,471.53,886.21,840.0,-665.0,770.0
-1.71,471.53,885.84,1277.5,-472.5,752.5
-1.46,471.65,885.11,665.0,-52.5,665.0
-1.46,471.9,884.13,-892.5,-262.5,192.5
-1.46,471.77,883.77,-1085.0,-1067.5,52.5
-1.71,471.41,884.26,-507.5,-1085.0,402.5
-1.71,471.29,885.11,140.0,-542.5,700.0
-1.71,471.29,885.72,770.0,-857.5,910.0
-1.71,471.41,886.09,822.5,-927.5,840.0
-1.46,471.41,886.7,927.5,-332.5,892.5
-1.1,471.41,886.94,1207.5,192.5,962.5
-0.73,471.53,886.7,1120.0,35.0,805.0
-0.37,471.65,886.21,560.0,-105.0,507.5
-0.12,471.65,885.96,227.5,157.5,437.5
0.12,471.53,885.96,630.0,-17.5,560.0
0.24,471.41,885.84,1137.5,-892.5,577.5
0.61,471.29,885.6,1295.0,-1242.5,437.5
1.1,471.41,885.48,1505.0,-857.5,402.5
1.34,471.65,884.87,997.5,-507.5,350.0
1.59,471.9,884.26,70.0,-52.5,175.0
1.71,471.9,883.89,-700.0,367.5,-87.5
1.71,471.77,884.26,-647.5,192.5,-245.0
1.83,471.53,884.99,157.5,210.0,-157.5
1.95,471.29,885.6,595.0,350.0,0.0
2.07,471.41,885.96,385.0,595.0,-140.0
2.07,471.41,886.21,490.0,647.5,-262.5
1.95,471.41,886.21,962.5,350.0,-175.0
1.95,471.53,885.84,1050.0,-105.0,-122.5
1.83,471.65,885.35,875.0,-490.0,-227.5
1.83,471.65,884.99,752.5,-577.5,-105.0
1.95,471.9,884.5,542.5,-507.5,-105.0
2.2,472.14,884.13,-140.0,-262.5,-350.0
2.32,472.26,884.01,-280.0,-280.0,-595.0
2.32,472.38,884.26,17.5,-245.0,-647.5
2.2,472.51,884.26,140.0,-297.5,-700.0
1.83,472.51,884.5,70.0,-70.0,-787.5
1.46,472.26,884.74,595.0,35.0,-437.5
0.85,472.02,884.74,1015.0,-87.5,-87.5
0.61,472.02,884.26,490.0,-87.5,-175.0
0.24,472.02,884.01,402.5,-262.5,-280.0
0.0,471.9,883.77,455.0,-315.0,-52.5
-0.24,471.9,883.52,-17.5,192.5,140.0
-0.24,471.9,883.4,-385.0,227.5,87.5
-0.12,472.02,883.4,-17.5,-490.0,-52.5
0.24,472.02,883.65,350.0,-962.5,-280.0
0.49,472.14,883.77,315.0,-490.0,-332.5
0.73,472.26,883.89,87.5,175.0,-192.5
0.85,472.38,883.65,-35.0,-175.0,-437.5
0.85,472.51,883.52,-52.5,-525.0,-805.0
0.73,472.38,883.52,227.5,-367.5,-682.5
0.49,472.51,883.28,122.5,-280.0,-665.0
0.0,472.63,882.91,-385.0,-822.5,-787.5
-0.24,472.38,883.16,-577.5,-910.0,-665.0
-0.61,472.26,883.65,-157.5,-245.0,-52.5
-0.98,472.14,884.01,35.0,122.5,157.5
-1.1,472.38,884.01,525.0,-507.5,-87.5
-1.22,472.38,884.01,577.5,-910.0,-297.5
-1.22,472.26,884.13,490.0,-367.5,-210.0
-1.22,472.14,884.01,-105.0,192.5,-87.5
-1.34,471.77,884.01,-70.0,210.0,-175.0
-1.46,471.53,884.01,-227.5,17.5,-87.5
-1.71,471.41,884.01,-157.5,87.5,87.5
-1.95,471.29,883.89,-420.0,-210.0,122.5
-1.83,471.29,884.01,-87.5,-700.0,87.5
-1.71,471.41,884.38,665.0,-455.0,122.5
-1.46,471.53,884.26,-105.0,245.0,-70.0
-1.34,471.65,884.13,-175.0,-140.0,-385.0
-1.22,471.65,884.13,-87.5,-630.0,-420.0
-1.46,471.65,884.13,-175.0,-105.0,-262.5
-1.59,471.65,883.77,-472.5,105.0,-122.5
-1.83,471.77,883.52,-525.0,-665.0,-122.5
-1.83,471.77,883.77,-157.5,-1102.5,-192.5
-1.95,471.77,884.26,0.0,-437.5,-87.5
-2.07,471.65,884.5,-192.5,70.0,35.0
-2.2,471.41,884.87,122.5,-175.0,87.5
-2.32,471.41,884.87,297.5,-297.5,122.5
-2.44,471.29,884.87,-70.0,-17.5,-17.5
-2.68,471.16,884.74,-35.0,-175.0,70.0
-2.81,470.92,884.74,17.5,-367.5,245.0
-2.81,470.8,884.87,-315.0,140.0,385.0
-2.81,470.68,884.99,-367.5,297.5,472.5
-2.68,470.43,884.99,-332.5,280.0,437.5
-2.44,470.43,884.99,122.5,227.5,577.5
-2.32,470.43,884.62,17.5,-192.5,472.5
-2.2,470.8,884.26,-262.5,-315.0,122.5
-2.07,470.92,884.26,-647.5,-245.0,52.5
-2.2,470.92,884.13,-472.5,-525.0,52.5
-2.2,470.8,884.5,-385.0,-647.5,175.0
-2.07,470.55,885.11,-315.0,-157.5,210.0
-1.95,470.43,885.72,-87.5,52.5,105.0
-1.95,470.19,886.21,455.0,-472.5,105.0
-1.95,469.94,886.45,542.5,-472.5,17.5
-1.95,469.94,886.45,490.0,-367.5,105.0
-1.95,469.82,886.21,577.5,-437.5,35.0
-1.83,469.58,885.96,805.0,-385.0,-52.5
-1.83,469.58,885.23,210.0,-227.5,-245.0
-1.95,469.58,884.5,-612.5,-262.5,-525.0
-2.32,469.46,884.13,-1155.0,-735.0,-542.5
-2.68,469.33,884.38,-875.0,-857.5,-227.5
-3.05,469.09,884.87,-577.5,-437.5,227.5
-3.29,468.97,885.48,-420.0,-385.0,350.0
-3.54,468.97,886.21,210.0,-332.5,525.0
-3.54,468.97,886.94,227.5,35.0,717.5
-3.42,468.97,887.31,385.0,175.0,455.0
-3.29,468.85,887.43,770.0,-140.0,472.5
