timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
3099,-5.25,-22.45,1014.55,105.0,-175.0,-35.0
3128,-5.25,-22.45,1014.67,122.5,-175.0,-35.0
3158,-5.25,-22.45,1014.8,105.0,-175.0,-35.0
3187,-5.25,-22.45,1014.8,105.0,-175.0,-35.0
3217,-5.37,-22.45,1014.92,122.5,-157.5,-35.0
3246,-5.37,-22.45,1015.04,105.0,-175.0,-35.0
3276,-5.37,-22.57,1015.04,122.5,-157.5,-35.0
3305,-5.37,-22.57,1015.16,122.5,-192.5,-17.5
3335,-5.37,-22.45,1015.16,122.5,-175.0,-35.0
3364,-5.37,-22.45,1015.28,105.0,-175.0,-17.5
3394,-5.37,-22.57,1015.28,122.5,-192.5,-35.0
3423,-5.37,-22.57,1015.28,122.5,-192.5,-17.5
3452,-5.37,-22.57,1015.41,122.5,-192.5,-17.5
3482,-5.37,-22.45,1015.41,122.5,-175.0,-17.5
3511,-5.37,-22.45,1015.53,140.0,-192.5,-35.0
3541,-5.37,-22.45,1015.53,105.0,-192.5,-17.5
3570,-5.37,-22.57,1015.53,122.5,-192.5,-17.5
3600,-5.37,-22.57,1015.53,122.5,-175.0,-17.5
3629,-5.37,-22.45,1015.53,122.5,-175.0,-35.0
3659,-5.37,-22.57,1015.53,122.5,-192.5,-17.5
3688,-5.37,-22.45,1015.53,122.5,-175.0,-35.0
3718,-5.37,-22.57,1015.53,140.0,-175.0,-17.5
3747,-5.37,-22.57,1015.53,122.5,-175.0,-17.5
3777,-5.37,-22.45,1015.53,140.0,-157.5,-35.0
3806,-5.37,-22.57,1015.53,140.0,-192.5,-17.5
3836,-5.37,-22.57,1015.53,122.5,-192.5,-35.0
3865,-5.37,-22.57,1015.53,122.5,-192.5,-52.5
3895,-5.37,-22.57,1015.53,105.0,-175.0,-35.0
3924,-5.37,-22.57,1015.53,105.0,-157.5,-35.0
3953,-5.37,-22.57,1015.53,140.0,-175.0,-35.0
3983,-5.37,-22.57,1015.53,122.5,-175.0,-35.0
4012,-5.25,-22.57,1015.53,105.0,-175.0,-35.0
4042,-5.37,-22.57,1015.53,105.0,-157.5,-35.0
4071,-5.25,-22.57,1015.53,122.5,-192.5,-35.0
4101,-5.25,-22.57,1015.53,122.5,-175.0,-35.0
4130,-5.25,-22.57,1015.53,105.0,-192.5,-35.0
4160,-5.25,-22.45,1015.53,105.0,-175.0,-17.5
4189,-5.25,-22.57,1015.65,122.5,-192.5,-35.0
4219,-5.25,-22.57,1015.65,140.0,-175.0,-35.0
