timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2107,5.37,112.24,970.14,-682.5,3185.0,105.0
2136,4.76,107.85,973.19,612.5,1522.5,210.0
2166,3.42,104.31,975.02,892.5,192.5,-192.5
2196,1.83,101.14,976.0,-735.0,700.0,-210.0
2226,-0.12,97.84,977.59,-455.0,385.0,437.5
2256,-1.95,94.43,979.54,87.5,455.0,1295.0
2285,-2.93,91.38,981.25,-280.0,227.5,910.0
2315,-3.9,88.94,982.83,-157.5,-525.0,52.5
2344,-5.49,86.38,984.42,-560.0,-822.5,210.0
2374,-6.71,83.08,986.74,-1067.5,-560.0,507.5
2403,-7.44,79.91,989.42,70.0,-455.0,805.0
2433,-7.44,77.47,991.01,542.5,-367.5,1085.0
2462,-6.95,75.4,992.1,-140.0,-192.5,612.5
2492,-6.83,73.44,993.45,-105.0,-507.5,-227.5
2521,-7.44,71.49,994.91,437.5,-17.5,542.5
2551,-7.56,69.66,995.4,262.5,-297.5,717.5
2580,-7.2,68.08,996.5,-770.0,350.0,17.5
2610,-7.2,66.61,998.57,875.0,-402.5,-70.0
2640,-6.83,65.39,999.67,980.0,-332.5,-367.5
2670,-6.71,64.42,1000.4,577.5,175.0,-717.5
2700,-7.08,63.2,1000.89,175.0,700.0,-1155.0
2730,-7.81,62.22,1000.89,210.0,525.0,-875.0
2760,-8.91,61.0,1001.01,-157.5,-70.0,-945.0
2789,-10.25,60.02,1001.62,-122.5,17.5,-507.5
2819,-11.22,59.05,1002.35,-332.5,490.0,210.0
2848,-11.59,57.46,1003.33,-17.5,0.0,140.0
2878,-11.35,56.12,1004.43,297.5,175.0,-210.0
2907,-10.74,55.14,1005.4,157.5,595.0,-262.5
2937,-9.88,54.41,1006.38,735.0,787.5,-420.0
2966,-9.76,54.17,1006.26,1015.0,315.0,-1225.0
2996,-10.61,54.05,1005.4,245.0,210.0,-1662.5
3025,-12.32,53.68,1004.91,-367.5,455.0,-1050.0
3055,-13.66,52.95,1005.16,-682.5,350.0,-752.5
3084,-14.4,52.09,1006.01,245.0,-350.0,-805.0
3114,-15.37,51.61,1006.5,17.5,-245.0,-822.5
3143,-16.84,50.51,1007.48,-1015.0,682.5,-682.5
3173,-18.54,48.8,1008.82,980.0,-175.0,525.0
3202,-19.28,48.43,1008.7,1662.5,-17.5,1557.5
3231,-19.03,49.41,1007.6,385.0,52.5,420.0
3261,-20.01,49.65,1006.62,-507.5,577.5,612.5
3290,-21.35,49.29,1006.26,-927.5,350.0,1365.0
