acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
7.69,204.84,987.47,-315.0,210.0,-490.0
7.81,204.47,987.71,315.0,-17.5,-542.5
7.81,204.11,987.83,472.5,-175.0,-665.0
7.93,203.86,987.83,227.5,-297.5,-805.0
8.05,203.5,988.08,630.0,-612.5,-875.0
8.05,203.13,988.32,1382.5,-577.5,-875.0
8.05,203.01,988.44,1067.5,140.0,-700.0
8.05,202.76,988.2,175.0,560.0,-700.0
7.81,202.52,987.96,105.0,280.0,-822.5
7.56,202.4,987.96,717.5,-87.5,-857.5
7.08,202.15,987.71,717.5,-140.0,-577.5
6.59,202.03,987.22,35.0,-70.0,-227.5
6.34,201.79,986.98,-455.0,-245.0,-122.5
6.1,201.67,986.98,-315.0,-507.5,-210.0
5.86,201.42,987.22,-17.5,-385.0,-70.0
5.73,201.18,987.47,350.0,-35.0,157.5
5.61,201.06,987.59,752.5,-140.0,332.5
5.61,200.93,987.47,280.0,-350.0,420.0
5.73,200.69,987.59,-717.5,105.0,280.0
5.86,200.32,988.08,-612.5,455.0,140.0
5.86,200.08,988.69,752.5,-105.0,122.5
5.86,199.96,989.05,1715.0,-87.5,157.5
5.86,200.08,988.81,1400.0,17.5,87.5
5.86,200.08,988.32,717.5,0.0,122.5
5.98,200.08,988.2,840.0,-385.0,17.5
6.22,200.08,988.32,1032.5,-350.0,-35.0
6.34,200.08,988.2,770.0,210.0,17.5
6.47,200.2,988.08,87.5,630.0,227.5
6.47,200.32,988.08,297.5,-17.5,-262.5
6.59,200.45,988.2,1172.5,-840.0,-927.5
6.47,200.57,988.08,1680.0,-787.5,-962.5
6.22,200.69,987.47,1120.0,-227.5,-665.0
5.98,200.93,986.74,-367.5,175.0,-385.0
5.61,201.06,986.37,-595.0,-385.0,-367.5
5.25,201.18,986.37,-87.5,-1050.0,-280.0
5.0,201.3,986.61,437.5,-1050.0,-367.5
4.88,201.3,986.74,595.0,-910.0,-350.0
4.76,201.06,986.86,332.5,-822.5,-87.5
4.88,200.81,987.35,-315.0,192.5,-105.0
4.76,200.45,987.96,140.0,35.0,-227.5
4.51,200.08,988.44,1032.5,-542.5,-87.5
4.39,199.84,988.69,997.5,0.0,297.5
4.51,199.96,988.57,682.5,472.5,525.0
4.64,200.08,988.32,420.0,192.5,245.0
4.64,200.2,988.2,910.0,-875.0,-122.5
4.88,200.45,988.08,927.5,-87.5,35.0
5.0,200.81,987.71,385.0,875.0,105.0
5.12,201.06,987.22,227.5,105.0,-175.0
5.25,201.42,986.98,472.5,-1050.0,-822.5
5.12,201.54,986.98,682.5,-1277.5,-910.0
5.12,201.54,987.1,210.0,-105.0,-192.5
5.25,201.54,987.35,-87.5,787.5,-35.0
5.12,201.67,987.47,175.0,157.5,-542.5
5.0,201.67,987.59,875.0,-700.0,-857.5
4.88,201.67,987.59,980.0,-280.0,-630.0
4.51,201.54,987.47,262.5,700.0,-227.5
4.15,201.42,987.22,-35.0,630.0,-175.0
3.9,201.3,986.98,122.5,-245.0,-385.0
3.54,201.18,986.86,140.0,-840.0,-472.5
3.17,201.06,986.74,280.0,-1050.0,-420.0
3.05,200.81,986.98,0.0,-560.0,140.0
2.93,200.69,987.35,122.5,315.0,350.0
2.81,200.57,987.71,962.5,-140.0,385.0
2.93,200.69,987.71,1225.0,-402.5,315.0
3.05,201.06,987.47,647.5,35.0,35.0
3.05,201.3,987.1,332.5,-17.5,-175.0
2.81,201.42,986.74,437.5,-437.5,-87.5
2.68,201.67,986.25,70.0,-507.5,70.0
2.68,201.79,986.0,-315.0,-612.5,-35.0
2.68,202.03,985.76,-455.0,-630.0,-210.0
2.68,202.03,985.88,-542.5,-245.0,-175.0
2.56,202.03,985.76,-577.5,-542.5,-105.0
2.56,202.03,986.0,-560.0,-735.0,-140.0
2.68,201.79,986.25,-402.5,-647.5,-105.0
2.68,201.54,986.49,-385.0,-770.0,-175.0
2.81,201.3,986.74,-105.0,-857.5,-280.0
2.81,201.3,986.98,-140.0,-577.5,-227.5
2.68,201.18,987.22,-122.5,-560.0,-52.5
2.56,201.06,987.35,140.0,-735.0,35.0
2.56,200.81,987.47,175.0,-507.5,140.0
2.68,200.81,987.59,122.5,-192.5,332.5
2.68,200.81,987.71,315.0,-612.5,140.0
2.93,200.93,987.47,437.5,-927.5,-52.5
2.93,201.06,987.35,-70.0,-665.0,70.0
3.05,201.18,987.1,-560.0,-385.0,280.0
3.17,201.3,987.22,-525.0,-857.5,70.0
3.42,201.18,987.47,-140.0,-1137.5,-297.5
3.66,200.93,987.83,227.5,-945.0,-297.5
3.66,200.69,987.96,315.0,-805.0,-122.5
3.66,200.57,987.96,175.0,-962.5,-192.5
3.66,200.32,988.2,-350.0,-507.5,0.0
3.66,199.96,988.57,-455.0,122.5,332.5
3.54,199.84,988.93,140.0,140.0,525.0
3.66,199.84,989.05,577.5,-455.0,245.0
3.66,199.84,989.18,630.0,-647.5,227.5
3.78,199.84,989.18,647.5,-420.0,227.5
3.78,199.96,989.05,875.0,-542.5,192.5
3.78,200.08,988.69,717.5,-525.0,192.5
3.66,200.32,988.32,-52.5,-157.5,315.0
3.54,200.32,987.96,-420.0,-297.5,525.0
3.54,200.32,987.83,-227.5,-857.5,595.0
3.66,200.32,987.96,52.5,-1190.0,315.0
3.9,200.2,987.96,-17.5,-1260.0,192.5
4.15,200.08,988.2,-157.5,-962.5,367.5
4.39,199.96,988.57,87.5,-875.0,472.5
4.64,199.84,988.93,297.5,-805.0,437.5
5.0,199.71,989.18,350.0,-717.5,402.5
5.12,199.71,989.42,140.0,17.5,507.5
5.37,199.59,989.42,-192.5,35.0,367.5
5.61,199.59,989.42,-70.0,-367.5,35.0
5.73,199.59,989.54,17.5,-192.5,122.5
5.61,199.59,989.54,105.0,175.0,472.5
5.73,199.59,989.3,402.5,-210.0,262.5
5.73,199.84,988.93,367.5,-822.5,-70.0
5.86,199.84,988.69,0.0,-822.5,-140.0
5.73,199.84,988.69,-52.5,-700.0,-70.0
5.61,199.71,988.69,262.5,-997.5,17.5
5.49,199.84,988.57,-52.5,-822.5,157.5
5.37,199.71,988.2,-262.5,-875.0,157.5
5.25,199.71,987.96,-140.0,-1610.0,70.0
5.25,199.59,987.83,-105.0,-1977.5,-35.0
5.25,199.35,987.96,-700.0,-1120.0,385.0
5.25,198.98,988.2,-1050.0,-315.0,875.0
5.25,198.86,988.69,-630.0,-542.5,787.5
5.49,198.62,989.18,105.0,-1050.0,630.0
5.86,198.37,989.66,210.0,-402.5,770.0
6.1,198.13,989.91,35.0,-35.0,875.0
6.34,197.88,990.27,367.5,-175.0,857.5
6.59,197.88,990.52,1015.0,-280.0,787.5
6.83,197.88,990.27,910.0,-367.5,595.0
7.08,198.01,990.03,350.0,-297.5,560.0
7.2,198.01,989.91,350.0,87.5,700.0
7.32,197.88,989.66,245.0,35.0,752.5
7.56,198.01,989.54,210.0,-717.5,350.0
7.81,198.01,989.54,245.0,-1172.5,52.5
8.05,197.88,989.91,210.0,-752.5,297.5
8.3,197.88,990.4,490.0,-350.0,402.5
8.54,197.76,990.64,980.0,-455.0,262.5
8.66,197.64,990.76,1120.0,-455.0,157.5
8.91,197.64,990.88,1102.5,-262.5,140.0
8.91,197.64,990.88,1347.5,-350.0,105.0
8.91,197.64,990.64,1452.5,-472.5,105.0
8.91,197.88,990.27,1207.5,-455.0,52.5
8.78,198.01,989.79,875.0,-542.5,70.0
8.54,198.13,989.42,875.0,-805.0,87.5
8.3,198.37,988.81,682.5,-980.0,262.5
8.3,198.49,988.57,437.5,-962.5,420.0
8.3,198.74,988.44,455.0,-682.5,542.5
8.17,198.86,988.32,192.5,-507.5,525.0
8.17,198.86,988.44,157.5,-735.0,420.0
8.05,198.74,988.69,420.0,-910.0,560.0
7.93,198.62,989.05,647.5,-437.5,1102.5
8.05,198.62,989.18,1015.0,-490.0,1347.5
8.3,198.86,989.05,1242.5,-1067.5,1015.0
8.66,199.1,988.81,1330.0,-1435.0,612.5
8.91,199.23,988.69,1347.5,-1470.0,472.5
9.15,199.35,988.44,1295.0,-1505.0,472.5
9.39,199.71,988.2,1242.5,-1347.5,612.5
9.76,200.08,987.71,577.5,-682.5,647.5
10.13,200.32,987.22,-70.0,-910.0,262.5
10.49,200.57,987.22,-87.5,-1627.5,-280.0
10.86,200.69,987.22,105.0,-1540.0,-385.0
11.22,200.69,987.59,175.0,-945.0,-122.5
11.71,200.81,988.2,682.5,-560.0,-280.0
11.96,200.69,988.57,1522.5,-1295.0,-560.0
12.2,200.69,988.81,1855.0,-1732.5,-490.0
12.32,200.81,988.69,1470.0,-1400.0,-297.5
12.44,201.06,988.57,1067.5,-980.0,-210.0
12.44,201.06,988.2,910.0,-1312.5,-175.0
12.44,201.3,987.96,542.5,-1295.0,-35.0
12.69,201.42,987.83,-17.5,-420.0,385.0
12.69,201.42,987.83,-122.5,-402.5,420.0
12.93,201.67,987.96,420.0,-1190.0,17.5
13.18,201.79,987.96,507.5,-1347.5,-245.0
13.3,201.79,988.2,455.0,-700.0,-70.0
13.42,201.79,988.44,787.5,-752.5,192.5
13.54,201.79,988.44,805.0,-717.5,385.0
13.79,201.91,988.32,175.0,-280.0,385.0
14.15,202.03,988.2,-122.5,-367.5,157.5
14.4,202.28,988.08,245.0,-1085.0,-157.5
14.64,202.4,988.2,665.0,-1085.0,-245.0
14.88,202.52,988.2,910.0,-892.5,-105.0
15.25,202.76,988.2,367.5,-525.0,-35.0
15.62,202.76,988.32,297.5,-490.0,-210.0
15.74,202.76,988.44,927.5,-822.5,-262.5
15.98,203.01,988.44,1120.0,-997.5,-367.5
16.1,203.01,988.44,717.5,-157.5,-402.5
15.98,203.01,988.32,402.5,87.5,0.0
15.98,203.01,988.44,962.5,-70.0,52.5
15.98,203.25,988.44,1225.0,-857.5,-280.0
15.98,203.37,988.2,507.5,-1470.0,-385.0
16.1,203.37,988.44,-280.0,-700.0,-17.5
16.35,203.25,989.05,-455.0,297.5,350.0
16.59,203.25,989.54,420.0,-175.0,157.5
16.84,203.37,989.79,1225.0,-892.5,-350.0
17.08,203.5,989.54,945.0,-490.0,-472.5
17.2,203.5,989.3,227.5,455.0,-262.5
17.08,203.5,989.18,140.0,525.0,-70.0
16.96,203.5,989.18,770.0,-175.0,-227.5
16.84,203.74,988.93,980.0,-805.0,-297.5
16.84,203.98,988.57,350.0,-840.0,-315.0
16.84,204.23,988.32,-105.0,-560.0,-297.5
16.84,204.35,988.32,-17.5,-542.5,0.0
16.84,204.47,988.44,297.5,-525.0,245.0
16.96,204.59,988.44,140.0,105.0,227.5
16.96,204.84,988.2,-315.0,192.5,52.5
16.96,204.96,988.2,-245.0,-402.5,-210.0
16.71,205.08,988.32,105.0,-612.5,-210.0
16.59,204.96,988.44,227.5,-70.0,332.5
16.59,204.96,988.44,192.5,70.0,665.0
16.71,204.96,988.32,-17.5,-175.0,350.0
16.96,204.96,988.44,-35.0,-525.0,-157.5
17.08,204.96,988.57,332.5,-437.5,-280.0
16.84,205.08,988.44,385.0,-105.0,-17.5
16.71,205.08,988.2,35.0,-157.5,140.0
16.59,205.2,988.08,-245.0,-542.5,-35.0
16.59,204.96,988.2,-297.5,-822.5,-87.5
16.59,204.72,988.44,-210.0,-420.0,280.0
16.59,204.47,988.69,-280.0,122.5,560.0
16.84,204.47,988.93,35.0,-140.0,402.5
16.96,204.35,989.3,262.5,-262.5,105.0
16.84,204.35,989.42,542.5,-315.0,140.0
16.84,204.35,989.3,595.0,-315.0,332.5
16.96,204.35,989.05,175.0,-210.0,332.5
17.08,204.35,988.93,-297.5,192.5,332.5
17.08,204.35,988.93,-17.5,-192.5,192.5
17.08,204.35,988.93,472.5,-700.0,157.5
17.32,204.35,988.93,262.5,-315.0,210.0
17.45,204.35,989.18,175.0,-122.5,0.0
17.57,204.35,989.3,770.0,-455.0,-245.0
17.69,204.35,989.3,647.5,35.0,-35.0
17.81,204.35,989.3,175.0,542.5,140.0
17.93,204.47,989.3,455.0,297.5,-227.5
17.93,204.59,989.18,857.5,-122.5,-507.5
17.69,204.59,988.69,735.0,-245.0,-350.0
17.57,204.59,988.32,122.5,-105.0,-157.5
17.57,204.59,988.2,-192.5,-17.5,-297.5
17.57,204.47,988.32,105.0,-52.5,-367.5
17.45,204.35,988.44,105.0,332.5,-122.5
17.45,204.23,988.57,-70.0,367.5,-87.5
17.57,204.23,988.69,105.0,-87.5,-350.0
17.69,204.23,989.05,700.0,-262.5,-560.0
17.57,204.23,989.18,1067.5,52.5,-525.0
17.45,204.47,988.69,927.5,-52.5,-525.0
17.32,204.47,988.2,402.5,-122.5,-560.0
17.32,204.47,987.96,157.5,105.0,-647.5
17.08,204.47,987.71,367.5,35.0,-700.0
16.96,204.47,987.59,-140.0,262.5,-577.5
16.84,204.35,987.71,-787.5,437.5,-560.0
16.71,204.23,988.32,-52.5,-227.5,-875.0
16.59,203.98,988.93,1242.5,-647.5,-1015.0
16.47,204.11,989.18,1365.0,122.5,-700.0
16.35,204.35,989.18,1085.0,437.5,-822.5
16.1,204.47,988.69,1137.5,-227.5,-1207.5
15.86,204.59,988.32,770.0,-350.0,-1172.5
15.62,204.47,988.08,17.5,472.5,-857.5
15.25,204.59,987.96,70.0,647.5,-682.5
14.88,204.72,987.71,577.5,70.0,-805.0
14.64,204.96,987.22,472.5,-472.5,-945.0
14.4,205.08,986.86,-52.5,-472.5,-980.0
14.15,204.96,986.74,-437.5,70.0,-682.5
13.91,204.84,987.1,-315.0,525.0,-472.5
13.79,204.72,987.47,105.0,87.5,-735.0
13.42,204.59,987.71,420.0,-612.5,-962.5
13.05,204.47,987.96,262.5,-437.5,-752.5
12.69,204.23,988.2,175.0,70.0,-192.5
12.32,204.23,988.57,542.5,-140.0,17.5
12.08,204.47,988.69,997.5,-542.5,-87.5
11.96,204.59,988.57,717.5,-297.5,-52.5
11.96,204.72,988.44,87.5,367.5,-17.5
11.83,204.84,988.32,490.0,-227.5,-297.5
11.71,204.96,988.08,805.0,-945.0,-490.0
11.59,205.2,987.71,402.5,-490.0,-367.5
11.47,205.08,987.47,-437.5,420.0,105.0
11.35,204.96,987.47,-297.5,-87.5,-17.5
11.22,204.96,987.47,245.0,-962.5,-297.5
11.1,204.72,987.71,52.5,-315.0,-105.0
10.98,204.59,987.96,17.5,315.0,402.5
10.98,204.47,988.08,315.0,-17.5,227.5
10.98,204.59,988.08,927.5,-787.5,-192.5
10.86,204.72,987.96,665.0,-507.5,-17.5
10.61,204.96,987.47,297.5,-297.5,105.0
10.49,205.08,986.98,-87.5,-525.0,105.0
10.49,205.2,986.74,-315.0,-525.0,122.5
10.49,205.2,986.61,-87.5,-857.5,140.0
10.49,205.2,986.61,-472.5,-787.5,17.5
10.74,205.2,986.74,-472.5,-542.5,-52.5
10.74,205.08,987.1,-227.5,-402.5,105.0
10.86,204.96,987.35,-192.5,-367.5,227.5
11.1,204.72,987.71,-245.0,-105.0,122.5
11.22,204.47,987.96,227.5,-245.0,-17.5
11.35,204.47,988.2,577.5,-647.5,-70.0
11.22,204.47,988.2,455.0,-350.0,-122.5
11.22,204.47,987.96,472.5,-542.5,-70.0
10.98,204.47,987.83,385.0,-315.0,-35.0
10.74,204.35,987.47,455.0,-315.0,157.5
10.61,204.35,986.98,52.5,-192.5,437.5
10.61,204.47,986.61,-857.5,-35.0,315.0
10.49,204.47,986.74,-735.0,-857.5,52.5
10.49,204.59,986.98,-105.0,-1435.0,140.0
10.61,204.72,987.35,17.5,-717.5,350.0
10.86,204.72,987.47,-227.5,-350.0,245.0
11.1,204.59,987.71,0.0,-735.0,-70.0
11.22,204.23,988.2,315.0,-560.0,-122.5
11.35,203.74,988.32,262.5,0.0,245.0
11.35,203.5,988.44,175.0,-105.0,367.5
11.47,203.37,988.69,332.5,-350.0,262.5
11.47,203.37,988.69,665.0,-315.0,140.0
11.71,203.37,988.69,752.5,-472.5,52.5
11.71,203.5,988.32,595.0,-420.0,-17.5
11.71,203.62,987.96,455.0,-367.5,70.0
11.83,203.74,987.59,140.0,-157.5,210.0
11.83,203.98,987.22,-175.0,52.5,35.0
11.71,203.98,987.1,-227.5,-420.0,-157.5
11.59,204.11,986.98,-210.0,-822.5,-175.0
11.47,203.98,986.98,-315.0,-542.5,157.5
11.35,203.86,987.22,-490.0,-52.5,420.0
11.47,203.74,987.71,192.5,-542.5,367.5
11.71,203.74,987.83,280.0,-490.0,227.5
11.96,203.74,987.96,297.5,-490.0,35.0
11.96,203.74,988.08,105.0,-105.0,17.5
11.96,203.74,987.96,472.5,-472.5,-70.0
11.96,203.62,987.71,105.0,-385.0,157.5
11.96,203.5,987.83,-437.5,157.5,122.5
12.08,203.25,987.96,105.0,-472.5,-87.5
11.96,203.13,987.96,350.0,-875.0,-192.5
12.08,203.13,987.96,612.5,-717.5,-227.5
12.08,203.01,987.83,140.0,-472.5,175.0
12.08,203.01,988.08,-332.5,105.0,140.0
12.08,203.01,988.08,752.5,-700.0,-70.0
12.08,203.01,987.96,455.0,-542.5,210.0
12.08,203.01,987.71,-367.5,245.0,245.0
11.96,203.13,987.71,35.0,-630.0,0.0
11.83,203.25,987.47,612.5,-1015.0,-17.5
11.83,203.25,987.22,105.0,-490.0,227.5
11.83,203.25,986.98,-490.0,-455.0,52.5
11.83,203.25,986.98,-175.0,-997.5,-140.0
11.83,203.13,986.98,-140.0,-805.0,0.0
11.83,203.01,987.22,-437.5,-157.5,367.5
11.96,202.76,987.47,-507.5,-35.0,297.5
12.08,202.52,987.96,140.0,-280.0,140.0
11.96,202.52,988.08,332.5,-280.0,227.5
11.96,202.4,988.08,297.5,-350.0,332.5
11.71,202.28,987.96,297.5,-455.0,122.5
11.59,202.28,987.96,770.0,-630.0,192.5
11.47,202.4,987.35,507.5,-350.0,490.0
11.47,202.52,986.74,-525.0,-630.0,385.0
11.59,202.64,986.37,-1137.5,-857.5,227.5
11.71,202.52,986.74,-875.0,-805.0,350.0
11.96,202.52,987.1,-210.0,-962.5,455.0
12.32,202.28,987.47,-332.5,-875.0,367.5
12.69,202.03,988.08,-350.0,-630.0,140.0
13.05,201.67,988.69,525.0,-840.0,-140.0
13.3,201.54,988.93,1190.0,-1207.5,-297.5
13.42,201.42,988.81,630.0,-647.5,-105.0
13.54,201.3,988.57,-52.5,17.5,140.0
13.54,201.3,988.44,245.0,-332.5,70.0
13.54,201.42,988.32,595.0,-875.0,-140.0
13.66,201.54,987.96,122.5,-455.0,-52.5
13.54,201.54,987.59,-332.5,-210.0,122.5
13.66,201.54,987.59,-52.5,-472.5,0.0
13.54,201.54,987.59,350.0,-612.5,-105.0
13.42,201.54,987.47,175.0,-612.5,0.0
13.18,201.54,987.22,-437.5,-385.0,175.0
13.05,201.3,987.22,-577.5,-245.0,385.0
12.93,200.93,987.59,-87.5,-367.5,630.0
13.18,200.81,987.96,402.5,-350.0,665.0
13.42,200.81,987.96,507.5,-595.0,472.5
13.79,200.81,987.96,122.5,-280.0,210.0
13.91,200.69,987.96,315.0,-332.5,157.5
14.15,200.81,987.96,472.5,-385.0,70.0
14.4,200.81,987.71,280.0,-577.5,52.5
14.64,200.81,987.47,-297.5,-245.0,35.0
14.64,200.81,987.47,0.0,-472.5,-87.5
14.64,200.81,987.35,192.5,-682.5,-140.0
14.76,200.57,987.35,-157.5,-455.0,-87.5
14.76,200.32,987.59,-332.5,-70.0,-35.0
14.64,200.2,987.96,472.5,-490.0,0.0
14.64,200.2,987.96,735.0,-630.0,17.5
14.64,200.32,987.71,595.0,-717.5,-245.0
14.64,200.2,987.47,0.0,-420.0,0.0
14.64,200.2,987.35,-490.0,262.5,280.0
14.52,200.2,987.35,0.0,-140.0,315.0
14.64,200.08,987.47,-52.5,-315.0,87.5
14.76,200.08,987.59,157.5,-437.5,-105.0
14.76,199.96,987.47,437.5,-927.5,-52.5
15.01,199.84,987.59,-245.0,-210.0,175.0
15.13,199.59,987.96,-17.5,140.0,70.0
15.13,199.59,988.32,822.5,-560.0,-17.5
15.13,199.59,988.2,787.5,-472.5,-157.5
15.13,199.84,987.83,612.5,-367.5,-105.0
15.13,199.84,987.22,52.5,-595.0,-35.0
15.13,199.96,986.98,-122.5,-752.5,-315.0
15.25,199.84,986.98,35.0,-997.5,-402.5
15.37,199.96,986.86,105.0,-1225.0,-455.0
15.37,199.96,986.98,-105.0,-822.5,-420.0
15.62,199.84,987.35,-52.5,-437.5,-350.0
15.49,199.59,987.59,507.5,-437.5,-280.0
15.37,199.59,987.71,472.5,-367.5,-175.0
15.37,199.59,987.59,332.5,0.0,-17.5
15.25,199.59,987.47,17.5,0.0,17.5
15.13,199.59,987.22,-157.5,-717.5,-227.5
15.13,199.59,987.22,35.0,-1400.0,-402.5
15.13,199.35,987.47,-17.5,-980.0,-140.0
15.25,199.23,987.83,35.0,-402.5,210.0
15.49,199.23,988.2,227.5,-420.0,87.5
15.74,199.1,988.44,700.0,-577.5,-367.5
15.86,199.1,988.32,927.5,-717.5,-455.0
15.98,199.1,988.08,455.0,-542.5,-297.5
15.98,198.86,987.83,-87.5,-87.5,-210.0
15.86,198.86,987.83,122.5,-122.5,-105.0
15.74,198.86,987.71,595.0,-595.0,-122.5
15.62,198.98,987.35,490.0,-857.5,-140.0
15.62,198.98,986.98,-105.0,-542.5,-87.5
15.62,198.98,986.98,-227.5,-437.5,105.0
15.62,198.98,986.98,192.5,-577.5,210.0
15.62,199.1,986.86,-35.0,-525.0,87.5
