timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
270655,201.67,-237.9,1041.88,28280.0,22435.0,-73447.5
270683,284.63,-258.64,1050.18,71155.0,3990.0,-138845.0
270712,280.97,-283.28,1006.01,54425.0,15767.5,-163345.0
270740,163.97,-303.29,954.65,-24237.5,30222.5,-132772.5
270769,-41.97,-307.44,956.24,-49350.0,-70140.0,-44432.5
270797,-236.44,-301.95,980.64,14455.0,-62527.5,51975.0
270826,-345.75,-308.29,957.94,52132.5,15487.5,123690.0
270855,-362.22,-331.96,911.46,-6737.5,16765.0,158217.5
270883,-286.7,-361.36,914.51,-35752.5,17535.0,139825.0
270912,-136.64,-378.32,969.17,-9730.0,23467.5,76457.5
270940,39.04,-379.66,1037.12,33687.5,43977.5,-4165.0
270969,183.49,-381.25,1079.46,67550.0,22715.0,-84665.0
270997,263.28,-393.69,1075.8,77752.5,-12915.0,-140507.5
271026,254.25,-409.19,1032.0,33215.0,-11007.5,-162715.0
271054,132.0,-416.75,995.52,-23380.0,36540.0,-120855.0
271083,-53.07,-409.8,970.51,-805.0,22207.5,-55772.5
271112,-227.29,-389.18,934.64,-9817.5,-51275.0,11882.5
271140,-347.46,-368.68,904.02,-19407.5,-13422.5,82145.0
271169,-393.08,-362.34,873.64,-20282.5,17832.5,117897.5
271197,-380.76,-370.27,852.29,-44415.0,-26127.5,123917.5
271226,-325.98,-384.18,863.52,-48737.5,-44695.0,111072.5
271254,-224.36,-396.74,902.07,-32515.0,-15977.5,82477.5
271283,-85.52,-402.6,950.38,-17797.5,4480.0,26915.0
271312,51.85,-406.14,991.62,1242.5,-3115.0,-44135.0
271341,141.4,-414.92,1007.72,27632.5,-9100.0,-110092.5
271369,158.84,-426.15,995.03,28717.5,-3080.0,-139107.5
271398,88.82,-431.39,974.29,3255.0,-18742.5,-135257.5
271427,-50.26,-425.41,969.17,-15540.0,-51520.0,-63787.5
271455,-176.41,-409.68,978.93,-16152.5,-7472.5,16835.0
271484,-247.17,-388.57,984.54,1960.0,21700.0,51887.5
271512,-288.29,-369.17,974.66,6125.0,-10657.5,73010.0
271541,-308.9,-358.31,965.51,-9380.0,-32865.0,103302.5
271569,-283.28,-357.83,967.34,-8067.5,-13440.0,110162.5
271598,-202.89,-364.29,977.34,-6930.0,-37975.0,87307.5
271626,-78.81,-371.37,996.98,2380.0,6772.5,40197.5
271655,63.56,-375.39,1012.23,14612.5,38220.0,-31622.5
271684,165.92,-377.22,1011.14,18340.0,10377.5,-109707.5
271713,183.24,-375.76,999.67,14700.0,5985.0,-134382.5
271742,119.32,-368.68,986.49,8960.0,14875.0,-110302.5
271770,-3.66,-357.46,978.68,700.0,-32445.0,-59360.0
271799,-132.98,-345.63,988.44,-4287.5,-44030.0,14630.0
271827,-225.58,-335.62,997.59,21157.5,-5652.5,68775.0
271856,-276.21,-334.77,981.61,20685.0,5442.5,115622.5
271884,-270.23,-346.24,961.85,-9082.5,11830.0,136500.0
271913,-203.62,-361.61,961.36,-20405.0,9800.0,110512.5
271941,-93.21,-373.56,977.46,-14105.0,2730.0,69807.5
271970,47.34,-382.35,1001.62,-5792.5,10202.5,11585.0
271999,178.97,-388.94,1014.67,9747.5,17657.5,-65590.0
272027,254.49,-397.35,1008.21,7752.5,9852.5,-114467.5
272056,265.59,-409.19,995.64,3640.0,35455.0,-138250.0
272084,197.88,-417.0,983.2,4812.5,35980.0,-143290.0
272113,44.41,-413.82,989.42,-7035.0,-42735.0,-81025.0
272141,-123.95,-401.26,1010.65,12215.0,-11112.5,10220.0
272170,-241.07,-388.94,1004.18,32252.5,21560.0,77052.5
272198,-300.36,-387.84,966.0,5512.5,-262.5,122237.5
272227,-294.51,-398.21,941.84,-30327.5,-19232.5,137165.0
272255,-229.12,-410.9,948.31,-18515.0,-5057.5,113505.0
272284,-119.8,-419.19,965.63,-5057.5,-1452.5,82477.5
272313,24.52,-421.88,988.93,1785.0,11287.5,23397.5
272341,170.31,-422.49,1010.89,19267.5,16940.0,-57942.5
272370,277.43,-431.76,1016.38,31675.0,3937.5,-128572.5
272398,316.22,-452.01,1003.08,22522.5,1242.5,-177537.5
272427,277.79,-471.04,986.74,-13422.5,542.5,-165882.5
272455,156.16,-485.56,978.56,-26092.5,-31115.0,-135345.0
272484,-40.75,-497.03,994.18,-30100.0,-83615.0,-41912.5
272512,-224.72,-503.13,1032.36,11585.0,-18182.5,67462.5
272541,-328.91,-514.11,1035.05,51152.5,46007.5,133262.5
272569,-353.8,-538.63,997.96,14630.0,36312.5,173845.0
272598,-290.12,-566.32,983.81,-24150.0,18165.0,167615.0
272627,-151.77,-580.72,1010.53,-7962.5,-38780.0,105105.0
272655,19.15,-577.43,1048.1,29277.5,-31605.0,37047.5
272684,188.12,-567.06,1063.23,46672.5,5547.5,-43470.0
272712,314.27,-564.01,1050.42,30905.0,-7595.0,-117110.0
272741,367.83,-572.42,1027.48,4392.5,-2432.5,-160860.0
272769,338.92,-584.14,1013.33,-19162.5,25025.0,-171237.5
272798,206.79,-585.72,1017.85,-8015.0,-3570.0,-142817.5
272826,-7.69,-570.47,1025.41,15382.5,-37747.5,-50907.5
272855,-213.01,-549.0,1019.8,11270.0,2432.5,58415.0
272884,-340.38,-540.22,997.47,5932.5,39847.5,134505.0
272912,-383.32,-556.56,963.31,-15732.5,40792.5,173232.5
272941,-338.18,-593.41,952.09,-56262.5,20002.5,176435.0
272969,-203.74,-628.06,999.79,-52360.0,6930.0,125090.0
272998,-16.71,-643.79,1081.9,8067.5,31342.5,40705.0
273026,160.55,-647.21,1144.73,61057.5,29312.5,-55790.0
273055,279.14,-652.33,1157.66,84175.0,-17657.5,-128992.5
273083,320.74,-662.22,1120.08,53060.0,-48352.5,-176575.0
273112,253.64,-671.61,1066.89,-15662.5,-20912.5,-186112.5
273140,51.73,-671.85,1037.0,-53025.0,-34247.5,-114030.0
273169,-194.59,-652.82,1047.49,-41370.0,-51800.0,15137.5
273197,-365.76,-629.76,1052.62,29540.0,17115.0,105227.5
273225,-443.35,-626.35,1007.35,19495.0,59972.5,160247.5
273254,-432.12,-647.94,959.41,-46497.5,35297.5,183365.0
273282,-330.13,-678.93,976.0,-79432.5,-1137.5,139965.0
273311,-161.04,-697.35,1057.86,-32235.0,13405.0,70980.0
